Tên căn hộ,Quận (Huyện),Phường (Xã),Địa chỉ,Diện tích,Phòng ngủ,Nhà vệ sinh,Giá tiền (triệu/m² ),Trường học,Siêu thị,Giải trí,Cơ sở y tế,Nhà hàng, Bến xe (trạm xe bus),ATM
Căn hộ chung cư Samland Riverview,Bình Thạnh,25,Đường D1,84 - 88,1 - 3,1 - 2,28.41 - 42.1,17,8,14,7,18,0,5
Căn hộ chung cư 12 View,12,Tân Thới Nhất,Đường Tân Thới Nhất 8,55 - 92,1 - 2,1 - 2,19.5 - 21.5,19,9,9,5,16,1,7
Căn hộ chung cư The Useful Apartment,Tân Bình,9,654 Lạc Long Quân,56 - 89,1 - 2,1 - 2,25 – 28,18,7,15,9,17,2,10
Căn hộ chung cư Carillon Apartment,Tân Bình,13,171A đường Hoàng Hoa Thám,"54,6 -113,7",1 - 3,1 - 3,38.5 - 72.5,16,11,17,9,15,1,9
Căn hộ chung cư Hoàng Anh - New Saigon,Nhà Bè,Phước Kiển,Đường Nguyễn Hữu Thọ,100 - 242,2 - 4,2 - 4,22 - 28.8,18,7,3,0,14,0,7
Căn hộ chung cư Ruby Garden,Tân Bình,15,Đường Nguyễn Sỹ Sách,"47,9 - 169,2",1 - 3,1 - 2,27.2 - 40.1,20,9,10,3,11,0,4
Căn hộ chung cư 4S Riverside Linh Đông,Thủ Đức,Hiệp Bình Chánh,Đường số 30,67 - 76,1 - 2,1 - 2,25 - 34.9,7,2,7,0,13,0,0
Căn hộ chung cư Chung Cư Mỹ Đức,Bình Thạnh,21,220 Xô Viết Nghệ Tĩnh,44 - 165,1 - 3,1 - 3,37.5 - 49.3,13,5,10,5,16,7,11
Căn hộ chung cư The Golden Dynasty - Hoàng Kim Thế Gia,Bình Tân,Bình Trị Đông,Đường Trương Phước Phan,54 - 160,1 - 4,1 - 3,28.5 - 36.9,22,9,12,5,14,7,5
Căn hộ chung cư Cao Ốc An Lạc Plaza,Bình Tân,An Lạc,Đường số 7,80 - 105,2 - 3,1 - 2,14 - 15 ,3,8,11,7,13,6,7
Căn hộ chung cư Hoàng Quân Plaza,8,7,Đường Nguyễn Văn Linh,74.9 - 117,2 - 3,1 - 2,18.6 - 22.6,4,1,4,0,13,3,0
THỦ THIÊM GREEN HOUSE,2,Thạnh Mỹ Lợi,Đường Nguyễn Chí Công,36.42-64.68,1 - 2,1 - 2,26 - 27 ,20,3,13,4,20,0,0
THE FOREST GEM BÌNH THẠNH,Bình Thạnh,13,499 Nơ Trang Long,88.46 - 250,1 - 3,1 - 2,46-49,20,20,20,14,20,1,10
CĂN HỘ MASTERI PARKLAND,2,An Phú,628A mặt tiền đường Xa Lộ Hà Nội,61 – 142,1 - 3,1 - 3,55,20,20,20,20,20,6,13
Vinhomes Central Park,Bình Thạnh,22,Đường Điện Biên Phủ,48 - 187,1 - 4,1 - 3,64.6 - 121.4,10,20,10,5,11,0,1
VINHOME GRAND PARK,9,Long Thạnh Mỹ,Đường Nguyễn Xiển,30 - 100,0 - 3,1 - 2,36.4 - 60,12,1,18,15,20,6,11
